Name,Adresse
Mensa ASH Berlin Hellersdorf,"Alice-Salomon-Platz 5 in 12627, Berlin"
Mensa HfM Charlottenstraße,"Charlottenstraße 55 in 10117, Berlin"
Mensa BHT Luxemburger Straße,"Luxemburger Straße 9 in 13353, Berlin"
Mensa-Backshop BHT Luxemburger Straße,"Luxemburger Straße 9 in 13353, Berlin"
Mensa-Späti BHT Haus Grashof,"Luxemburger Straße 10 in 13353, Berlin"
Mensa HTW Treskowallee,"Treskowallee 8 in 10318, Berlin"
Mensa HTW Wilhelminenhof,"Wilhelminenhofstraße 75 A in 12459, Berlin"
Mensa Charité Zahnklinik,"Aßmannshauser Str. 2-6 in 14197, Berlin"
Mensa HU Süd,"Unter den Linden 6 in 10117, Berlin"
Mensa-Späti Charité Zahnklinik,"Aßmannshauser Str. 2-6 in 14197, Berlin"
Mensa-Backshop HfM Charlottenstraße,"Charlottenstraße 55 in 10117, Berlin"
Mensa EHB Teltower Damm,"Teltower Damm 118 - 122 in 14167, Berlin"
Mensa-Späti EHB Teltower Damm,"Teltower Damm 118 - 122 in 14167, Berlin"
Mensa FU Herrenhaus Düppel,"Oertzenweg 19b in 14163, Berlin"
Mensa FU I Shokudō,"Van't-Hoff-Str. 6 in 14195, Berlin"
Mensa FU II,"Otto-von-Simson-Straße 26 in 14195, Berlin"
Mensa FU Koserstraße,"Koserstraße 20 in 14195, Berlin"
Mensa FU Lankwitz Malteserstraße,"Malteserstraße 74 in 12249, Berlin"
Mensa FU Pharmazie,"Königin-Luise-Str. 2 in 14195, Berlin"
Mensa-Backshop FU Rechtswissenschaften,"Van't-Hoff-Str. 8 in 14195, Berlin"
Mensa-Späti Shokudō (FU I),"Van't-Hoff-Str. 6 in 14195, Berlin"
Mensa-Backshop HfM Neuer Marstall,"Schlossplatz 7 in 10718, Berlin"
Mensa HfS Ernst Busch,"Zinnowitzer Straße 11 in 10115, Berlin"
Mensa-Backshop HTW Wilhelminenhof,"Wilhelminenhofstraße 75 A in 12459, Berlin"
Mensa HWR Badensche Straße,"Badensche Str. 51 in 10825, Berlin"
Mensa-Backshop HWR Alt-Friedrichsfelde,"Alt-Friedrichsfelde 60 in 10315, Berlin"
Mensa HU Nord,"Hannoversche Straße 7 in 10115, Berlin"
Mensa HU Oase Adlershof,"Rudower Chaussee 25 in 12489, Berlin"
Mensa-Backshop HU „c.t.“,"Unter den Linden 6 in 10117, Berlin"
Mensa-Backshop HU Oase Adlershof,"Rudower Chaussee 25 in 12489, Berlin"
Mensa-Backshop HU Spandauer Straße,"Spandauer Straße 1 in 10178, Berlin"
Mensa KHSB,"Köpenicker Allee 39 - 57 in 10318, Berlin"
Mensa Pastaria TU Architektur,"Straße des 17. Juni 152 in 10623, Berlin"
Mensa TU „Skyline“,"Ernst-Reuter-Platz 7 in 10587, Berlin"
Mensa TU Hardenbergstraße,"Hardenbergstraße 34 in 10623, Berlin"
Mensa TU Marchstraße,"Marchstraße 23 in 10587, Berlin"
Mensa TU Veggie 2.0 – Die vegane Mensa,"Hardenbergstraße 34 in 10623, Berlin"
Mensa-Backshop TU Hardenbergstraße,"Hardenbergstraße 34 in 10623, Berlin"
Mensa-Backshop TU Wetterleuchten,"Straße des 17. Juni 135 in 10623, Berlin"
Mensa KHS Weißensee,"Bühringstraße 20 in 13086, Berlin"
